ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:177(<setcomp>)
1,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:135(__new__)
61,0.000,0.000,0.001,0.000,C:\Python\lib\enum.py:284(__call__)
1,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:335(__getattr__)
1,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:360(__members__)
8,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:376(__setattr__)
1,0.000,0.000,0.001,0.001,C:\Python\lib\enum.py:389(_create_)
3,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:453(_find_data_type)
3,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:442(_get_mixins_)
1,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:474(_find_new_)
88,0.000,0.000,0.000,0.000,C:\Python\lib\sre_compile.py:65(_combine_flags)
60,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:526(__new__)
2,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:566(_generate_next_value_)
2,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:610(__hash__)
8,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:628(value)
471/24,0.004,0.000,0.012,0.001,C:\Python\lib\sre_compile.py:71(_compile)
177,0.000,0.000,0.001,0.000,C:\Python\lib\sre_compile.py:249(_compile_charset)
177,0.004,0.000,0.005,0.000,C:\Python\lib\sre_compile.py:276(_optimize_charset)
6,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:830(__or__)
24,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:836(__and__)
15,0.000,0.000,0.000,0.000,C:\Python\lib\sre_compile.py:413(<listcomp>)
15,0.000,0.000,0.000,0.000,C:\Python\lib\sre_compile.py:411(_mk_bitmap)
6,0.000,0.000,0.000,0.000,C:\Python\lib\sre_compile.py:416(_bytes_to_codes)
220,0.000,0.000,0.001,0.000,C:\Python\lib\sre_compile.py:423(_simple)
4,0.000,0.000,0.000,0.000,C:\Python\lib\sre_compile.py:432(_generate_overlap_table)
54,0.000,0.000,0.000,0.000,C:\Python\lib\sre_compile.py:453(_get_iscased)
34/24,0.000,0.000,0.000,0.000,C:\Python\lib\sre_compile.py:461(_get_literal_prefix)
20,0.000,0.000,0.000,0.000,C:\Python\lib\sre_compile.py:492(_get_charset_prefix)
24,0.000,0.000,0.001,0.000,C:\Python\lib\sre_compile.py:536(_compile_info)
48,0.000,0.000,0.000,0.000,C:\Python\lib\sre_compile.py:595(isstring)
24,0.000,0.000,0.013,0.001,C:\Python\lib\sre_compile.py:598(_code)
24,0.000,0.000,0.045,0.002,C:\Python\lib\sre_compile.py:759(compile)
24,0.000,0.000,0.000,0.000,C:\Python\lib\sre_parse.py:76(__init__)
196,0.000,0.000,0.000,0.000,C:\Python\lib\sre_parse.py:81(groups)
70,0.000,0.000,0.000,0.000,C:\Python\lib\sre_parse.py:84(opengroup)
70,0.000,0.000,0.002,0.000,C:\Python\lib\sre_parse.py:96(closegroup)
542,0.001,0.000,0.001,0.000,C:\Python\lib\sre_parse.py:111(__init__)
1115,0.001,0.000,0.001,0.000,C:\Python\lib\sre_parse.py:160(__len__)
3389,0.002,0.000,0.003,0.000,C:\Python\lib\sre_parse.py:164(__getitem__)
244,0.000,0.000,0.000,0.000,C:\Python\lib\sre_parse.py:168(__setitem__)
785,0.000,0.000,0.001,0.000,C:\Python\lib\sre_parse.py:172(append)
541/102,0.002,0.000,0.002,0.000,C:\Python\lib\sre_parse.py:174(getwidth)
471,0.000,0.000,0.000,0.000,C:\Python\lib\copyreg.py:87(__newobj__)
24,0.000,0.000,0.000,0.000,C:\Python\lib\sre_parse.py:224(__init__)
10218,0.006,0.000,0.006,0.000,C:\Python\lib\sre_parse.py:233(__next)
1289,0.001,0.000,0.001,0.000,C:\Python\lib\sre_parse.py:249(match)
9417,0.004,0.000,0.010,0.000,C:\Python\lib\sre_parse.py:254(get)
29,0.000,0.000,0.000,0.000,C:\Python\lib\sre_parse.py:258(getwhile)
35,0.000,0.000,0.000,0.000,C:\Python\lib\sre_parse.py:267(getuntil)
664,0.000,0.000,0.001,0.000,C:\Python\lib\sre_parse.py:286(tell)
88,0.000,0.000,0.001,0.000,C:\Python\lib\sre_parse.py:295(_class_escape)
73,0.000,0.000,0.000,0.000,C:\Python\lib\sre_parse.py:343(_escape)
122,0.000,0.000,0.000,0.000,C:\Python\lib\sre_parse.py:408(_uniq)
173/24,0.001,0.000,0.030,0.001,C:\Python\lib\sre_parse.py:417(_parse_sub)
287/24,0.010,0.000,0.030,0.001,C:\Python\lib\sre_parse.py:475(_parse)
24,0.000,0.000,0.000,0.000,C:\Python\lib\sre_parse.py:903(fix_flags)
24,0.000,0.000,0.031,0.001,C:\Python\lib\sre_parse.py:919(parse)
17,0.000,0.000,0.000,0.000,C:\Python\lib\copyreg.py:96(_slotnames)
116,0.000,0.000,0.000,0.000,C:\Python\lib\posixpath.py:41(_get_sep)
116,0.000,0.000,0.000,0.000,C:\Python\lib\posixpath.py:64(isabs)
400,0.000,0.000,0.000,0.000,C:\Python\lib\site-packages\PIL\_binary.py:19(i8)
1,0.000,0.000,0.000,0.000,C:\Python\lib\logging\__init__.py:727(__init__)
80,0.000,0.000,0.000,0.000,C:\Python\lib\site-packages\PIL\_binary.py:56(i32le)
1,0.000,0.000,0.000,0.000,C:\Python\lib\logging\__init__.py:1175(append)
1,0.000,0.000,0.000,0.000,C:\Python\lib\logging\__init__.py:1221(getLogger)
1,0.000,0.000,0.000,0.000,C:\Python\lib\logging\__init__.py:1272(_fixupParents)
1216,0.001,0.000,0.003,0.000,C:\Python\lib\site-packages\PIL\_binary.py:80(i32be)
1,0.000,0.000,0.000,0.000,C:\Python\lib\logging\__init__.py:1341(__init__)
304,0.000,0.000,0.001,0.000,C:\Python\lib\logging\__init__.py:1361(debug)
1,0.000,0.000,0.000,0.000,C:\Python\lib\logging\__init__.py:1605(getEffectiveLevel)
304,0.000,0.000,0.000,0.000,C:\Python\lib\logging\__init__.py:1619(isEnabledFor)
1,0.000,0.000,0.000,0.000,C:\Python\lib\logging\__init__.py:1930(getLogger)
26,0.000,0.000,0.009,0.000,C:\Python\lib\traceback.py:200(extract_stack)
78,0.000,0.000,0.000,0.000,C:\Python\lib\traceback.py:243(__init__)
26,0.000,0.000,0.000,0.000,C:\Python\lib\traceback.py:272(__getitem__)
104,0.000,0.000,0.004,0.000,C:\Python\lib\traceback.py:282(line)
104,0.000,0.000,0.000,0.000,C:\Python\lib\traceback.py:289(walk_stack)
26,0.001,0.000,0.009,0.000,C:\Python\lib\traceback.py:318(extract)
78,0.000,0.000,0.003,0.000,C:\Python\lib\linecache.py:15(getline)
78,0.000,0.000,0.003,0.000,C:\Python\lib\linecache.py:37(getlines)
26,0.000,0.000,0.004,0.000,C:\Python\lib\linecache.py:53(checkcache)
1,0.000,0.000,0.003,0.003,C:\Python\lib\linecache.py:82(updatecache)
78,0.000,0.000,0.000,0.000,C:\Python\lib\linecache.py:147(lazycache)
2,0.000,0.000,0.000,0.000,C:\Python\lib\tokenize.py:374(read_or_stop)
2,0.000,0.000,0.000,0.000,C:\Python\lib\tokenize.py:380(find_cookie)
1,0.000,0.000,0.000,0.000,C:\Python\lib\tokenize.py:350(detect_encoding)
1,0.000,0.000,0.000,0.000,C:\Python\lib\tokenize.py:443(open)
1,0.000,0.000,0.000,0.000,C:\Python\lib\weakref.py:356(__init__)
2,0.000,0.000,0.000,0.000,C:\Python\lib\weakref.py:476(popitem)
1,0.000,0.000,0.000,0.000,C:\Python\lib\site-packages\pygame\compat.py:74(get_BytesIO)
102,0.000,0.000,0.001,0.000,C:\Python\lib\site-packages\pygame\sprite.py:121(__init__)
